商品编码,疾病分类统一,工业采购价,客户采购价格,建议零售价,工业毛利额,客户毛利额,客户毛利率,品牌名称_京鸿阁,品牌名称_其他,品牌名称_小葫芦宝,品牌名称_蜀汉本草,品牌名称_驰铭,医保类型_乙类,医保类型_医保,医保类型_甲类,医保类型_非医保
6970878583019671591,保健食品,-0.3280007324785655,-0.3358565370422791,-0.3394222281145035,-0.3259393109103843,-0.3400257601333612,0.9410052677051188,False,False,False,True,False,False,False,False,True
6970878583019671976,保健食品,-0.3280007324785655,-0.3358565370422791,-0.3451818651574643,-0.3259393109103843,-0.3513832545336898,0.7719908973185045,False,False,False,True,False,False,False,False,True
6970878583023866125,保健食品,-0.3280007324785655,-0.3358565370422791,-0.3394222281145035,-0.3259393109103843,-0.3400257601333612,0.9410052677051188,False,False,False,True,False,False,False,False,True
6970878582294057844,保健食品,-0.0861930406659916,0.0436695655175355,0.2739791169608142,0.3914348166691938,0.4974474832108762,0.7930791346722009,False,False,False,False,True,False,False,False,True
6970878582294057549,保健食品,0.072099921419014,0.1754394065436444,0.5619609691088507,0.4391075520591647,0.9361307044235724,0.9908910928280682,False,False,False,False,True,False,False,False,True
6970878583757869218,保健食品,-0.2719093267968855,-0.2446312624857422,-0.0140027351872223,-0.1480043868603824,0.2122324050826218,1.961488165102518,False,False,False,False,True,False,False,False,True
6970878583019671618,保健食品,-0.3259287136332601,-0.334408516811223,-0.366780504068567,-0.3263163360584596,-0.3953935453349636,-0.2271328965478074,False,False,False,False,True,False,False,False,True
6970878582294057777,保健食品,-0.2679663058599238,-0.2663515659515844,-0.217029940951588,-0.2372336719048801,-0.1668239705283485,0.9707467062655398,False,False,False,False,True,False,False,False,True
6970878583019671756,保健食品,-0.2516530231599452,-0.2446312624857422,-0.217029940951588,-0.2028824917469044,-0.1881192725289648,0.5280834346685785,False,False,False,False,True,False,False,False,True
6970878583757869304,保健食品,-0.1144204317264759,-0.0810049763763982,0.201983653923805,0.0170488446303786,0.4777138366903051,1.3486134647276786,False,False,False,False,True,False,False,False,True
6970878583757869280,保健食品,-0.1910773975891715,-0.1736782711639913,0.201983653923805,-0.1104066012606468,0.5685737918929348,1.9881948219926229,False,False,False,False,True,False,False,False,True
6970878583757869259,保健食品,-0.2027518321280188,-0.1838144127813842,0.201983653923805,-0.1154336032349847,0.5785115994932225,2.058149032943476,False,False,False,False,True,False,False,False,True
6970878583757869325,保健食品,-0.2893436644691375,-0.2446312624857422,-0.0140027351872223,-0.1007715141431658,0.2122324050826218,1.961488165102518,False,False,False,False,True,False,False,False,True
6970878583757869355,保健食品,-0.0477369894102126,0.1897748068311003,0.9219382842938963,0.8156090540955138,1.631919205123709,1.6055729295729866,False,False,False,False,True,False,False,False,True
6970878583757869401,保健食品,-0.0747969370168122,0.0158675770812576,0.4899655060718416,0.2600206067233771,0.9506115097839916,1.5538541229281289,False,False,False,False,True,False,False,False,True
6987679987700727808,保健食品,-0.2785196854264977,-0.2446312624857422,-0.0859981982242314,-0.1300956923268036,0.070263725078513,1.6459188612688054,False,False,False,False,True,False,False,False,True
6998111046280151040,保健食品,-0.2857099000762513,-0.2866238491863703,-0.2515877632093524,-0.2624734109843684,-0.2150933217297455,0.9821733208496968,False,False,False,False,True,False,False,False,True
7000300822940614656,保健食品,-0.2216937954526385,-0.2069827364782825,-0.0859981982242314,-0.1478996576525837,0.0333518682774447,1.1695639962225195,False,False,False,False,True,False,False,False,True
7001437865846505472,保健食品,-0.1411981827366066,-0.1172054821528017,0.201983653923805,-0.0413167428758403,0.5132060066913323,1.5984499324092971,False,False,False,False,True,False,False,False,True
7006144684750012416,保健食品,-0.1308496856304828,-0.027428227827321,0.2739791169608142,0.2553077923724353,0.5671541050928938,1.233688689594136,False,False,False,False,True,False,False,False,True
7014109220551524353,保健食品,-0.2857099000762513,-0.2446312624857422,-0.2746263113811953,-0.1106160596762442,-0.3016942165322518,-0.5538018456381235,False,True,False,False,False,False,False,False,True
7016649342727487488,保健食品,-0.2738808372653663,-0.2721436468758089,-0.2299891242982497,-0.2421559446714193,-0.1866995857289237,0.935312565334374,False,True,False,False,False,False,False,False,True
7094876854653812807,保健食品,-0.2448880362582953,-0.2389839835846232,-0.1579936612612405,-0.2007879075909303,-0.0772417334457558,1.0740037388822634,False,True,False,False,False,False,False,False,True
7094876759685857285,保健食品,-0.2680822770639521,-0.2664963679746899,-0.217029940951588,-0.2374431303204775,-0.1666820018483444,0.9736977947428532,False,True,False,False,False,False,False,False,True
7095298750494539793,保健食品,-0.2178280886516957,-0.2071275385013881,-0.1234358390034762,-0.1588962244714478,-0.0403298766446876,0.8913707003056616,False,True,False,False,False,False,False,False,True
7095298829800439919,保健食品,-0.1598424866375538,-0.1390705876417494,-0.0140027351872223,-0.0698763978425475,0.1087372373596265,0.8561427116741616,False,True,False,False,False,False,False,False,True
7098119595890311290,保健食品,1.5217399717725633,1.8551428745687688,3.600169509270636,2.5860563119326425,5.2803723125493,1.0420998098062884,False,False,True,False,False,False,False,False,True
7124956508945121404,保健食品,-0.0349801569671014,-0.0304690703125388,0.201983653923805,-0.0154172097872202,0.4281667673688712,0.99984175584414,False,True,False,False,False,False,False,False,True
7129752400235069557,保健食品,-0.2680822770639521,-0.2459344806936927,-0.0010435518405607,-0.1630853927833961,0.2390644856033983,2.020317608492797,False,False,False,False,True,False,False,False,True
7137679900970057853,保健食品,0.1532797642388128,0.2304641753237778,0.6339564321458598,0.4181617104994235,1.02415128602612,0.9330206292447546,False,False,False,False,True,False,False,False,True
